regione,immigrati_1920,emigrati_1920,residenti_1920,totale_1920,immigrati_2021,emigrati_2021,residenti_2021,totale_2021,var_totale,var_fuorisede,var_emigrati,bilancio1920,bilancio2021,zona
PIEMONTE,4348,3056,16452,20800,4726,3442,16833,21559,3.6490384615384612,8.693652253909843,12.630890052356019,1292,1284,NORD-OVEST
VALLE D'AOSTA,65,380,127,192,59,379,130,189,-1.5625,-9.230769230769232,-0.2631578947368421,-315,-320,NORD-OVEST
LOMBARDIA,12129,5073,41857,53986,12391,6105,40996,53387,-1.1095469195717407,2.1601121279577873,20.34299231224128,7056,6286,NORD-OVEST
TRENTINO ALTO ADIGE,1666,1893,1745,3411,1577,2106,1660,3237,-5.101143359718558,-5.342136854741897,11.251980982567353,-227,-529,NORD-EST
VENETO,3077,6958,15398,18475,3530,7171,16489,20019,8.357239512855209,14.722131946701333,3.061224489795918,-3881,-3641,NORD-EST
FRIULI VENEZIA GIULIA,1233,1263,4110,5343,1283,1351,4279,5562,4.098820887142055,4.0551500405515,6.967537608867776,-30,-68,NORD-EST
LIGURIA,548,1878,4934,5482,1034,1798,5624,6658,21.452024808464067,88.6861313868613,-4.259850905218317,-1330,-764,NORD-OVEST
EMILIA ROMAGNA,11947,2703,17859,29806,12031,3372,17988,30019,0.7146212172045896,0.703105382104294,24.75027746947836,9244,8659,NORD-EST
TOSCANA,3330,1473,14471,17801,3262,2164,15779,19041,6.965900792090332,-2.0420420420420418,46.911065852002714,1857,1098,CENTRO
UMBRIA,846,1142,3259,4105,2042,1145,3763,5805,41.41291108404385,141.371158392435,0.2626970227670753,-296,897,CENTRO
MARCHE,2130,1988,5684,7814,2065,2127,5682,7747,-0.8574353724084975,-3.051643192488263,6.99195171026157,142,-62,CENTRO
LAZIO,7272,3010,29043,36315,7947,3155,30628,38575,6.223323695442654,9.282178217821782,4.817275747508306,4262,4792,CENTRO
ABRUZZO,1874,2416,4529,6403,1840,2544,4390,6230,-2.7018585038263314,-1.814300960512273,5.298013245033113,-542,-704,SUD
MOLISE,425,798,603,1028,407,892,579,986,-4.085603112840467,-4.235294117647059,11.779448621553884,-373,-485,SUD
CAMPANIA,4709,3689,29490,34199,5198,3553,29729,34927,2.1287172139536246,10.384370354640051,-3.686635944700461,1020,1645,SUD
PUGLIA,527,6895,14328,14855,603,7041,15335,15938,7.290474587680916,14.421252371916509,2.1174764321972446,-6368,-6438,SUD
BASILICATA,185,2234,747,932,157,2331,774,931,-0.1072961373390558,-15.135135135135137,4.341987466427931,-2049,-2174,SUD
CALABRIA,240,3642,5933,6173,242,3703,6163,6405,3.7583022841406124,0.8333333333333334,1.6749038989566172,-3402,-3461,SUD
SICILIA,736,6049,18045,18781,887,6037,20102,20989,11.756562483360844,20.516304347826086,-0.19837989750371962,-5313,-5150,ISOLE
SARDEGNA,0,747,6357,6357,0,865,6550,6550,3.0360232814220542,0,15.796519410977242,-747,-865,ISOLE
