anno_acc,id_ateneo,ateneo_breve,codice_classe,laurea,lau_totali,isc_femmine,isc_maschi,isc_totali,isc_1anno
2013/2014,03001,Udine,L-25,scienze agrarie,21,NA,NA,NA,81
2013/2014,03001,Udine,L-25,viticoltura ed enologia,39,NA,NA,NA,133
2013/2014,03001,Udine,L-26,scienze e tecnologie alimentari,39,NA,NA,NA,163
2013/2014,03001,Udine,L-31,informatica,33,NA,NA,NA,116
2013/2014,03001,Udine,L-31,tecnologie web e multimediali,28,NA,NA,NA,122
2013/2014,03001,Udine,L-32,scienze per l'ambiente e la natura,29,NA,NA,NA,89
2013/2014,03001,Udine,L-33,economia e commercio,39,NA,NA,NA,122
2013/2014,03001,Udine,L-35,matematica,17,NA,NA,NA,26
2013/2014,03001,Udine,L-38,allevamento e salute animale,10,NA,NA,NA,87
2013/2014,03001,Udine,L/SNT1,infermieristica,72,NA,NA,NA,130
2013/2014,03001,Udine,L/SNT1,ostetricia,9,NA,NA,NA,15
2013/2014,03001,Udine,L/SNT2,educazione professionale,27,NA,NA,NA,51
2013/2014,03001,Udine,L/SNT2,fisioterapia,12,NA,NA,NA,26
2013/2014,03001,Udine,L/SNT3,tecniche di laboratorio biomedico,8,NA,NA,NA,14
2013/2014,03001,Udine,L/SNT3,"tecniche di radiologia medica, per immagini e radioterapia",21,NA,NA,NA,15
2013/2014,03001,Udine,LM-04,architettura,70,NA,NA,NA,101
2013/2014,03001,Udine,LM-09,biotecnologie sanitarie,12,NA,NA,NA,14
2013/2014,03001,Udine,LM-15,"scienze dell'antichita: archeologia, storia, letterature",11,NA,NA,NA,9
2013/2014,03001,Udine,LM-18,comunicazione multimediale e tecnologie dell'informazione,13,NA,NA,NA,9
2013/2014,03001,Udine,LM-18,informatica,10,NA,NA,NA,23
2013/2014,03001,Udine,LM-19,comunicazione multimediale e tecnologie dell'informazione,9,NA,NA,NA,12
2013/2014,03001,Udine,LM-22,ingegneria per l'ambiente e l'energia,8,NA,NA,NA,10
2013/2014,03001,Udine,LM-23,ingegneria civile,21,NA,NA,NA,28
2013/2014,03001,Udine,LM-31,ingegneria gestionale,44,NA,NA,NA,58
2013/2014,03001,Udine,LM-33,ingegneria meccanica,38,NA,NA,NA,33
2013/2014,03001,Udine,LM-35,ingegneria per l'ambiente e il territorio,9,NA,NA,NA,11
2013/2014,03001,Udine,LM-37,lingue e letterature europee ed extraeuropee,16,NA,NA,NA,46
2013/2014,03001,Udine,LM-40,matematica,11,NA,NA,NA,17
2013/2014,03001,Udine,LM-59,comunicazione integrata per le imprese e le organizzazioni,44,NA,NA,NA,53
2013/2014,03001,Udine,LM-68,scienza dello sport,20,NA,NA,NA,17
2013/2014,03001,Udine,LM-69,scienze e tecnologie agrarie,12,NA,NA,NA,22
2013/2014,03001,Udine,LM-69,"viticoltura, enologia e mercati vitivinicoli",14,NA,NA,NA,26
2013/2014,03001,Udine,LM-70,scienze e tecnologie alimentari,12,NA,NA,NA,38
2013/2014,03001,Udine,LM-75,scienze e tecnologie per l'ambiente e il territorio,8,NA,NA,NA,19
2013/2014,03001,Udine,LM-77,banca e finanza,27,NA,NA,NA,24
2013/2014,03001,Udine,LM-77,economia aziendale,115,NA,NA,NA,62
2013/2014,03001,Udine,LM-86,nutrizione e risorse animali,8,NA,NA,NA,8
2013/2014,03001,Udine,LM-89,storia dell'arte e conservazione dei beni artistici e architettonici,15,NA,NA,NA,24
2013/2014,03001,Udine,LM-94,traduzione e mediazione culturale,74,NA,NA,NA,52
2013/2014,03001,Udine,LMG/01,giurisprudenza,55,NA,NA,NA,148
2013/2014,03201,Trieste,L-05,discipline storiche e filosofiche,17,NA,NA,NA,27
2013/2014,03201,Trieste,L-07,ingegneria civile e ambientale,21,NA,NA,NA,63
2013/2014,03201,Trieste,L-08,ingegneria dell'informazione,16,NA,NA,NA,85
2013/2014,03201,Trieste,L-09,ingegneria industriale,30,NA,NA,NA,111
2013/2014,03201,Trieste,L-09,ingegneria navale,9,NA,NA,NA,49
2013/2014,03201,Trieste,L-10,"discipline letterarie, archeologiche e storico-artistiche",19,NA,NA,NA,39
2013/2014,03201,Trieste,L-11,lingue e letterature straniere,62,NA,NA,NA,121
2013/2014,03201,Trieste,L-12,comunicazione interlinguistica applicata,157,NA,NA,NA,156
2013/2014,03201,Trieste,L-13,scienze e tecnologie biologiche,15,NA,NA,NA,79
2013/2014,03201,Trieste,L-16,scienze politiche e dell'amministrazione,44,NA,NA,NA,71
2013/2014,03201,Trieste,L-17,scienze dell'architettura,84,NA,NA,NA,55
2013/2014,03201,Trieste,L-18,economia e gestione aziendale,76,NA,NA,NA,143
2013/2014,03201,Trieste,L-19,scienze dell'educazione,82,NA,NA,NA,201
2013/2014,03201,Trieste,L-20,scienze della comunicazione,71,NA,NA,NA,135
2013/2014,03201,Trieste,L-24,scienze e tecniche psicologiche,116,NA,NA,NA,143
2013/2014,03201,Trieste,L-27,chimica,16,NA,NA,NA,44
2013/2014,03201,Trieste,L-30,fisica,41,NA,NA,NA,73
2013/2014,03201,Trieste,L-32,scienze e tecnologie per l'ambiente e la natura,33,NA,NA,NA,47
2013/2014,03201,Trieste,L-33,"economia, commercio internazionale e mercati finanziari",114,NA,NA,NA,230
2013/2014,03201,Trieste,L-34,geologia,11,NA,NA,NA,45
2013/2014,03201,Trieste,L-35,matematica,14,NA,NA,NA,24
2013/2014,03201,Trieste,L-36,scienze internazionali e diplomatiche,104,NA,NA,NA,117
2013/2014,03201,Trieste,L-36,scienze politiche e dell'amministrazione,46,NA,NA,NA,117
2013/2014,03201,Trieste,L-39,servizio sociale,43,NA,NA,NA,61
2013/2014,03201,Trieste,L-41,"statistica e informatica per l'azienda, la finanza e l'assicurazione",15,NA,NA,NA,49
2013/2014,03201,Trieste,L-42,discipline storiche e filosofiche,18,NA,NA,NA,33
2013/2014,03201,Trieste,L/SNT1,infermieristica,59,NA,NA,NA,101
2013/2014,03201,Trieste,L/SNT2,fisioterapia,10,NA,NA,NA,24
2013/2014,03201,Trieste,L/SNT3,"tecniche di radiologia medica, per immagini e radioterapia",10,NA,NA,NA,15
2013/2014,03201,Trieste,LM-04,architettura,58,NA,NA,NA,51
2013/2014,03201,Trieste,LM-06,biologia ambientale,16,NA,NA,NA,15
2013/2014,03201,Trieste,LM-06,genomica funzionale,22,NA,NA,NA,30
2013/2014,03201,Trieste,LM-06,neuroscienze,25,NA,NA,NA,31
2013/2014,03201,Trieste,LM-09,biotecnologie mediche,21,NA,NA,NA,24
2013/2014,03201,Trieste,LM-14,italianistica,11,NA,NA,NA,22
2013/2014,03201,Trieste,LM-17,fisica,35,NA,NA,NA,32
2013/2014,03201,Trieste,LM-21,ingegneria clinica,14,NA,NA,NA,19
2013/2014,03201,Trieste,LM-23,ingegneria civile,38,NA,NA,NA,38
2013/2014,03201,Trieste,LM-32,ingegneria informatica,10,NA,NA,NA,12
2013/2014,03201,Trieste,LM-33,ingegneria meccanica,14,NA,NA,NA,24
2013/2014,03201,Trieste,LM-34,ingegneria navale,27,NA,NA,NA,37
2013/2014,03201,Trieste,LM-37,lingue e letterature straniere,16,NA,NA,NA,16
2013/2014,03201,Trieste,LM-40,matematica,14,NA,NA,NA,17
2013/2014,03201,Trieste,LM-51,psicologia,48,NA,NA,NA,21
2013/2014,03201,Trieste,LM-52,scienze internazionali e diplomatiche,69,NA,NA,NA,69
2013/2014,03201,Trieste,LM-53,ingegneria di processo e dei materiali,10,NA,NA,NA,12
2013/2014,03201,Trieste,LM-54,chimica,26,NA,NA,NA,17
2013/2014,03201,Trieste,LM-56,scienze economiche,10,NA,NA,NA,16
2013/2014,03201,Trieste,LM-59,"scienze della comunicazione pubblica, d'impresa e pubblicita",17,NA,NA,NA,30
2013/2014,03201,Trieste,LM-62,scienze del governo e politiche pubbliche,23,NA,NA,NA,19
2013/2014,03201,Trieste,LM-63,scienze del governo e politiche pubbliche,17,NA,NA,NA,33
2013/2014,03201,Trieste,LM-74,geoscienze,11,NA,NA,NA,13
2013/2014,03201,Trieste,LM-77,scienze aziendali,64,NA,NA,NA,94
2013/2014,03201,Trieste,LM-81,cooperazione interculturale allo sviluppo,36,NA,NA,NA,39
2013/2014,03201,Trieste,LM-83,scienze statistiche e attuariali,16,NA,NA,NA,28
2013/2014,03201,Trieste,LM-84,studi storici dal medioevo all'eta contemporanea,10,NA,NA,NA,26
2013/2014,03201,Trieste,LM-87,"servizio sociale, politiche sociali, programmazione e gestione dei servizi",10,NA,NA,NA,21
2013/2014,03201,Trieste,LM-94,traduzione specialistica e interpretazione di conferenza,90,NA,NA,NA,92
2013/2014,03201,Trieste,LMG/01,giurisprudenza,151,NA,NA,NA,182
2013/2014,03401,Parma,L-01,beni artistici e dello spettacolo,42,NA,NA,NA,81
2013/2014,03401,Parma,L-02,biotecnologie,55,NA,NA,NA,60
2013/2014,03401,Parma,L-05,studi filosofici,25,NA,NA,NA,43
2013/2014,03401,Parma,L-07,ingegneria civile e ambientale,75,NA,NA,NA,137
2013/2014,03401,Parma,L-08,"ingegneria informatica, elettronica e delle telecomunicazioni",27,NA,NA,NA,152
2013/2014,03401,Parma,L-09,ingegneria gestionale,104,NA,NA,NA,177
2013/2014,03401,Parma,L-09,ingegneria meccanica,36,NA,NA,NA,125
2013/2014,03401,Parma,L-10,lettere,63,NA,NA,NA,53
2013/2014,03401,Parma,L-11,civilta e lingue straniere moderne,113,NA,NA,NA,316
2013/2014,03401,Parma,L-13,biologia,93,NA,NA,NA,125
2013/2014,03401,Parma,L-17,scienze dell'architettura,130,NA,NA,NA,94
2013/2014,03401,Parma,L-18,economia e management,172,NA,NA,NA,467
2013/2014,03401,Parma,L-19,scienze dell'educazione e dei processi formativi,129,NA,NA,NA,258
2013/2014,03401,Parma,L-22,"scienze motorie, sport e salute",72,NA,NA,NA,102
2013/2014,03401,Parma,L-26,scienze e tecnologie alimentari,37,NA,NA,NA,73
2013/2014,03401,Parma,L-26,scienze gastronomiche,31,NA,NA,NA,80
2013/2014,03401,Parma,L-27,chimica,38,NA,NA,NA,68
2013/2014,03401,Parma,L-30,fisica,14,NA,NA,NA,25
2013/2014,03401,Parma,L-31,informatica,13,NA,NA,NA,74
2013/2014,03401,Parma,L-32,scienze della natura e dell'ambiente,39,NA,NA,NA,102
2013/2014,03401,Parma,L-34,scienze geologiche,12,NA,NA,NA,41
2013/2014,03401,Parma,L-36,scienze politiche e delle relazioni internazionali,70,NA,NA,NA,163
2013/2014,03401,Parma,L-38,scienze zootecniche e tecnologie delle produzioni animali,46,NA,NA,NA,98
2013/2014,03401,Parma,L-39,servizio sociale,110,NA,NA,NA,63
2013/2014,03401,Parma,L/SNT1,infermieristica,218,NA,NA,NA,237
2013/2014,03401,Parma,L/SNT1,ostetricia,26,NA,NA,NA,30
2013/2014,03401,Parma,L/SNT2,fisioterapia,38,NA,NA,NA,51
2013/2014,03401,Parma,L/SNT2,logopedia,8,NA,NA,NA,16
2013/2014,03401,Parma,L/SNT3,tecniche audioprotesiche,23,NA,NA,NA,20
2013/2014,03401,Parma,L/SNT3,tecniche di laboratorio biomedico,15,NA,NA,NA,31
2013/2014,03401,Parma,L/SNT3,"tecniche di radiologia medica, per immagini e radioterapia",19,NA,NA,NA,20
2013/2014,03401,Parma,LM-04,architettura,175,NA,NA,NA,148
2013/2014,03401,Parma,LM-06,biologia e applicazioni biomediche,64,NA,NA,NA,72
2013/2014,03401,Parma,LM-06,biologia molecolare,38,NA,NA,NA,29
2013/2014,03401,Parma,LM-06,ecologia e conservazione della natura,18,NA,NA,NA,20
2013/2014,03401,Parma,LM-08,biotecnologie industriali,19,NA,NA,NA,23
2013/2014,03401,Parma,LM-09,"biotecnologie mediche, veterinarie e farmaceutiche",27,NA,NA,NA,50
2013/2014,03401,Parma,LM-11,scienze per la conservazione e il restauro,10,NA,NA,NA,7
2013/2014,03401,Parma,LM-13,chimica e tecnologia farmaceutiche,20,NA,NA,NA,81
2013/2014,03401,Parma,LM-13,farmacia,16,NA,NA,NA,119
2013/2014,03401,Parma,LM-14,lettere classiche e moderne,10,NA,NA,NA,21
2013/2014,03401,Parma,LM-17,fisica,10,NA,NA,NA,12
2013/2014,03401,Parma,LM-19,giornalismo e cultura editoriale,61,NA,NA,NA,78
2013/2014,03401,Parma,LM-23,ingegneria civile,70,NA,NA,NA,63
2013/2014,03401,Parma,LM-29,ingegneria elettronica,15,NA,NA,NA,16
2013/2014,03401,Parma,LM-31,ingegneria gestionale,89,NA,NA,NA,115
2013/2014,03401,Parma,LM-32,ingegneria informatica,22,NA,NA,NA,27
2013/2014,03401,Parma,LM-33,ingegneria meccanica,33,NA,NA,NA,41
2013/2014,03401,Parma,LM-33,ingegneria meccanica dell'industria alimentare,32,NA,NA,NA,32
2013/2014,03401,Parma,LM-35,ingegneria per l'ambiente e il territorio,11,NA,NA,NA,9
2013/2014,03401,Parma,LM-40,matematica,8,NA,NA,NA,7
2013/2014,03401,Parma,LM-41,medicina e chirurgia,117,NA,NA,NA,289
2013/2014,03401,Parma,LM-42,medicina veterinaria,16,NA,NA,NA,48
2013/2014,03401,Parma,LM-50,progettazione e coordinamento dei servizi educativi,13,NA,NA,NA,51
2013/2014,03401,Parma,LM-52,relazioni internazionali ed europee,13,NA,NA,NA,24
2013/2014,03401,Parma,LM-54,chimica,20,NA,NA,NA,20
2013/2014,03401,Parma,LM-67,scienze e tecniche delle attivita motorie preventive e adattate,31,NA,NA,NA,32
2013/2014,03401,Parma,LM-70,scienze e tecnologie alimentari,36,NA,NA,NA,59
2013/2014,03401,Parma,LM-71,chimica industriale,8,NA,NA,NA,16
2013/2014,03401,Parma,LM-75,scienze e tecnologie per l'ambiente e le risorse,10,NA,NA,NA,28
2013/2014,03401,Parma,LM-77,amministrazione e direzione aziendale,122,NA,NA,NA,108
2013/2014,03401,Parma,LM-77,finanza e risk management,88,NA,NA,NA,109
2013/2014,03401,Parma,LM-77,international business and development - economia internazionale e dello sviluppo,42,NA,NA,NA,133
2013/2014,03401,Parma,LM-77,trade marketing e strategie commerciali,141,NA,NA,NA,110
2013/2014,03401,Parma,LM-78,filosofia,11,NA,NA,NA,36
2013/2014,03401,Parma,LM-87,programmazione e gestione dei servizi sociali,24,NA,NA,NA,42
2013/2014,03401,Parma,LM/SNT1,scienze infermieristiche e ostetriche,11,NA,NA,NA,25
2013/2014,03401,Parma,LMG/01,giurisprudenza,163,NA,NA,NA,232
2013/2014,03601,Modena e Reggio Emilia,L-02,biotecnologie,38,NA,NA,NA,69
2013/2014,03601,Modena e Reggio Emilia,L-05,scienze della cultura,14,NA,NA,NA,54
2013/2014,03601,Modena e Reggio Emilia,L-07,ingegneria civile e ambientale,95,NA,NA,NA,165
2013/2014,03601,Modena e Reggio Emilia,L-08,ingegneria elettronica,26,NA,NA,NA,76
2013/2014,03601,Modena e Reggio Emilia,L-08,ingegneria gestionale,15,NA,NA,NA,36
2013/2014,03601,Modena e Reggio Emilia,L-08,ingegneria informatica,48,NA,NA,NA,140
2013/2014,03601,Modena e Reggio Emilia,L-09,ingegneria gestionale,33,NA,NA,NA,97
2013/2014,03601,Modena e Reggio Emilia,L-09,ingegneria meccanica,116,NA,NA,NA,252
2013/2014,03601,Modena e Reggio Emilia,L-09,ingegneria meccatronica,24,NA,NA,NA,88
2013/2014,03601,Modena e Reggio Emilia,L-12,lingue e culture europee,162,NA,NA,NA,200
2013/2014,03601,Modena e Reggio Emilia,L-13,scienze biologiche,20,NA,NA,NA,99
2013/2014,03601,Modena e Reggio Emilia,L-14,scienze giuridiche dell'impresa e della pubblica amministrazione,39,NA,NA,NA,110
2013/2014,03601,Modena e Reggio Emilia,L-18,economia aziendale,157,NA,NA,NA,202
2013/2014,03601,Modena e Reggio Emilia,L-18,economia e marketing internazionale,139,NA,NA,NA,222
2013/2014,03601,Modena e Reggio Emilia,L-18,marketing e organizzazione d'impresa,123,NA,NA,NA,427
2013/2014,03601,Modena e Reggio Emilia,L-19,scienze dell'educazione,121,NA,NA,NA,385
2013/2014,03601,Modena e Reggio Emilia,L-20,scienze della comunicazione,95,NA,NA,NA,246
2013/2014,03601,Modena e Reggio Emilia,L-25,scienze e tecnologie agrarie e degli alimenti,16,NA,NA,NA,28
2013/2014,03601,Modena e Reggio Emilia,L-26,scienze e tecnologie agrarie e degli alimenti,19,NA,NA,NA,50
2013/2014,03601,Modena e Reggio Emilia,L-27,chimica,30,NA,NA,NA,68
2013/2014,03601,Modena e Reggio Emilia,L-29,scienze e tecnologie erboristiche,21,NA,NA,NA,72
2013/2014,03601,Modena e Reggio Emilia,L-30,fisica,23,NA,NA,NA,31
2013/2014,03601,Modena e Reggio Emilia,L-31,informatica,21,NA,NA,NA,104
2013/2014,03601,Modena e Reggio Emilia,L-32,scienze naturali,9,NA,NA,NA,80
2013/2014,03601,Modena e Reggio Emilia,L-33,economia e finanza,85,NA,NA,NA,151
2013/2014,03601,Modena e Reggio Emilia,L-34,scienze geologiche,22,NA,NA,NA,47
2013/2014,03601,Modena e Reggio Emilia,L-35,matematica,20,NA,NA,NA,20
2013/2014,03601,Modena e Reggio Emilia,L-42,scienze della cultura,21,NA,NA,NA,25
2013/2014,03601,Modena e Reggio Emilia,L/SNT1,infermieristica,131,NA,NA,NA,263
2013/2014,03601,Modena e Reggio Emilia,L/SNT1,ostetricia,20,NA,NA,NA,27
2013/2014,03601,Modena e Reggio Emilia,L/SNT2,fisioterapia,12,NA,NA,NA,30
2013/2014,03601,Modena e Reggio Emilia,L/SNT2,logopedia,9,NA,NA,NA,15
2013/2014,03601,Modena e Reggio Emilia,L/SNT2,tecnica della riabilitazione psichiatrica,10,NA,NA,NA,12
2013/2014,03601,Modena e Reggio Emilia,L/SNT2,terapia occupazionale,9,NA,NA,NA,12
2013/2014,03601,Modena e Reggio Emilia,L/SNT3,dietistica,9,NA,NA,NA,10
2013/2014,03601,Modena e Reggio Emilia,L/SNT3,tecniche di fisiopatologia cardiocircolatoria e perfusione cardiovascolare,8,NA,NA,NA,8
2013/2014,03601,Modena e Reggio Emilia,L/SNT3,tecniche di laboratorio biomedico,10,NA,NA,NA,18
2013/2014,03601,Modena e Reggio Emilia,L/SNT3,"tecniche di radiologia medica, per immagini e radioterapia",16,NA,NA,NA,19
2013/2014,03601,Modena e Reggio Emilia,LM-06,biologia,15,NA,NA,NA,13
2013/2014,03601,Modena e Reggio Emilia,LM-08,biotecnologie industriali,13,NA,NA,NA,12
2013/2014,03601,Modena e Reggio Emilia,LM-09,biotecnologie mediche e farmaceutiche,48,NA,NA,NA,26
2013/2014,03601,Modena e Reggio Emilia,LM-13,chimica e tecnologia farmaceutiche,36,NA,NA,NA,69
2013/2014,03601,Modena e Reggio Emilia,LM-13,farmacia,47,NA,NA,NA,74
2013/2014,03601,Modena e Reggio Emilia,LM-16,"analisi, consulenza e gestione finanziaria",28,NA,NA,NA,38
2013/2014,03601,Modena e Reggio Emilia,LM-17,fisica,10,NA,NA,NA,8
2013/2014,03601,Modena e Reggio Emilia,LM-23,ingegneria civile,46,NA,NA,NA,45
2013/2014,03601,Modena e Reggio Emilia,LM-29,ingegneria elettronica,18,NA,NA,NA,23
2013/2014,03601,Modena e Reggio Emilia,LM-31,ingegneria gestionale,43,NA,NA,NA,64
2013/2014,03601,Modena e Reggio Emilia,LM-32,ingegneria informatica,32,NA,NA,NA,42
2013/2014,03601,Modena e Reggio Emilia,LM-33,ingegneria del veicolo,48,NA,NA,NA,96
2013/2014,03601,Modena e Reggio Emilia,LM-33,ingegneria meccanica,24,NA,NA,NA,39
2013/2014,03601,Modena e Reggio Emilia,LM-33,ingegneria meccatronica,17,NA,NA,NA,27
2013/2014,03601,Modena e Reggio Emilia,LM-35,ingegneria per la sostenibilita ambientale,21,NA,NA,NA,30
2013/2014,03601,Modena e Reggio Emilia,LM-38,lingue per la comunicazione nell'impresa e nelle organizzazioni internazionali,107,NA,NA,NA,113
2013/2014,03601,Modena e Reggio Emilia,LM-40,matematica,12,NA,NA,NA,13
2013/2014,03601,Modena e Reggio Emilia,LM-53,ingegneria dei materiali,11,NA,NA,NA,33
2013/2014,03601,Modena e Reggio Emilia,LM-54,scienze chimiche,14,NA,NA,NA,21
2013/2014,03601,Modena e Reggio Emilia,LM-56,economia e politiche pubbliche,27,NA,NA,NA,18
2013/2014,03601,Modena e Reggio Emilia,LM-59,"pubblicita', editoria e creativita' d'impresa",55,NA,NA,NA,66
2013/2014,03601,Modena e Reggio Emilia,LM-63,economia e diritto per le imprese e le pubbliche amministrazioni,11,NA,NA,NA,15
2013/2014,03601,Modena e Reggio Emilia,LM-74,scienze e tecnologie geologiche,11,NA,NA,NA,21
2013/2014,03601,Modena e Reggio Emilia,LM-77,direzione e consulenza di impresa,93,NA,NA,NA,87
2013/2014,03601,Modena e Reggio Emilia,LM-77,economia e diritto per le imprese e le pubbliche amministrazioni,50,NA,NA,NA,95
2013/2014,03601,Modena e Reggio Emilia,LM-77,management e comunicazione d'impresa,20,NA,NA,NA,113
2013/2014,03601,Modena e Reggio Emilia,LM-77,management internazionale,76,NA,NA,NA,79
2013/2014,03601,Modena e Reggio Emilia,LM-77,relazioni di lavoro,23,NA,NA,NA,39
2013/2014,03601,Modena e Reggio Emilia,LM-85,scienze pedagogiche,26,NA,NA,NA,63
2013/2014,03601,Modena e Reggio Emilia,LM/SNT1,scienze infermieristiche e ostetriche,21,NA,NA,NA,24
2013/2014,03601,Modena e Reggio Emilia,LMG/01,giurisprudenza,168,NA,NA,NA,213
2013/2014,03701,Bologna,L-01,beni culturali,101,NA,NA,NA,149
2013/2014,03701,Bologna,L-02,biotecnologie,65,NA,NA,NA,65
2013/2014,03701,Bologna,L-03,culture e tecniche della moda,171,NA,NA,NA,226
2013/2014,03701,Bologna,L-03,"dams - discipline delle arti, della musica e dello spettacolo",290,NA,NA,NA,521
2013/2014,03701,Bologna,L-05,filosofia,148,NA,NA,NA,221
2013/2014,03701,Bologna,L-07,ingegneria civile,104,NA,NA,NA,109
2013/2014,03701,Bologna,L-07,ingegneria per l'ambiente e il territorio,34,NA,NA,NA,57
2013/2014,03701,Bologna,L-08,ingegneria biomedica,49,NA,NA,NA,103
2013/2014,03701,Bologna,L-08,ingegneria dell'automazione,52,NA,NA,NA,110
2013/2014,03701,Bologna,L-08,ingegneria elettronica e telecomunicazioni,28,NA,NA,NA,95
2013/2014,03701,Bologna,L-08,ingegneria informatica,65,NA,NA,NA,156
2013/2014,03701,Bologna,L-09,ingegneria aerospaziale,35,NA,NA,NA,68
2013/2014,03701,Bologna,L-09,ingegneria chimica e biochimica,43,NA,NA,NA,63
2013/2014,03701,Bologna,L-09,ingegneria energetica,130,NA,NA,NA,133
2013/2014,03701,Bologna,L-09,ingegneria gestionale,206,NA,NA,NA,194
2013/2014,03701,Bologna,L-09,ingegneria meccanica,124,NA,NA,NA,250
2013/2014,03701,Bologna,L-10,lettere,332,NA,NA,NA,495
2013/2014,03701,Bologna,L-11,lingue e letterature straniere,395,NA,NA,NA,348
2013/2014,03701,Bologna,L-11,"lingue, mercati e culture dell'asia",58,NA,NA,NA,89
2013/2014,03701,Bologna,L-12,mediazione linguistica interculturale,158,NA,NA,NA,171
2013/2014,03701,Bologna,L-13,scienze biologiche,84,NA,NA,NA,145
2013/2014,03701,Bologna,L-14,consulente del lavoro e delle relazioni aziendali,91,NA,NA,NA,183
2013/2014,03701,Bologna,L-14,giurista d'impresa e delle amministrazioni pubbliche,44,NA,NA,NA,65
2013/2014,03701,Bologna,L-18,business and economics,81,NA,NA,NA,105
2013/2014,03701,Bologna,L-18,economia aziendale,111,NA,NA,NA,198
2013/2014,03701,Bologna,L-18,economia del turismo,81,NA,NA,NA,107
2013/2014,03701,Bologna,L-18,economia dell'impresa,124,NA,NA,NA,120
2013/2014,03701,Bologna,L-18,economia e commercio,265,NA,NA,NA,286
2013/2014,03701,Bologna,L-18,management e marketing,115,NA,NA,NA,142
2013/2014,03701,Bologna,L-19,educatore nei servizi per l'infanzia,201,NA,NA,NA,220
2013/2014,03701,Bologna,L-19,educatore sociale e culturale,333,NA,NA,NA,622
2013/2014,03701,Bologna,L-20,scienze della comunicazione,263,NA,NA,NA,397
2013/2014,03701,Bologna,L-22,scienze delle attivita motorie e sportive,42,NA,NA,NA,278
2013/2014,03701,Bologna,L-23,ingegneria edile,59,NA,NA,NA,46
2013/2014,03701,Bologna,L-25,economia e marketing nel sistema agro-industriale,30,NA,NA,NA,129
2013/2014,03701,Bologna,L-25,scienze del territorio e dell'ambiente agro-forestale,30,NA,NA,NA,98
2013/2014,03701,Bologna,L-25,tecnologie agrarie,69,NA,NA,NA,239
2013/2014,03701,Bologna,L-25,verde ornamentale e tutela del paesaggio,16,NA,NA,NA,40
2013/2014,03701,Bologna,L-26,tecnologie alimentari,36,NA,NA,NA,126
2013/2014,03701,Bologna,L-26,viticoltura ed enologia,16,NA,NA,NA,101
2013/2014,03701,Bologna,L-27,chimica e chimica dei materiali,47,NA,NA,NA,82
2013/2014,03701,Bologna,L-27,chimica e tecnologie per l'ambiente e per i materiali,25,NA,NA,NA,79
2013/2014,03701,Bologna,L-27,chimica industriale,50,NA,NA,NA,87
2013/2014,03701,Bologna,L-29,controllo di qualita dei prodotti per la salute,49,NA,NA,NA,24
2013/2014,03701,Bologna,L-29,scienze farmaceutiche applicate,52,NA,NA,NA,45
2013/2014,03701,Bologna,L-30,astronomia,35,NA,NA,NA,61
2013/2014,03701,Bologna,L-30,fisica,87,NA,NA,NA,141
2013/2014,03701,Bologna,L-31,informatica,45,NA,NA,NA,106
2013/2014,03701,Bologna,L-31,informatica per il management,25,NA,NA,NA,68
2013/2014,03701,Bologna,L-32,scienze ambientali,15,NA,NA,NA,65
2013/2014,03701,Bologna,L-32,scienze naturali,41,NA,NA,NA,48
2013/2014,03701,Bologna,L-33,economia del turismo,46,NA,NA,NA,30
2013/2014,03701,Bologna,L-33,economia dell'impresa,27,NA,NA,NA,11
2013/2014,03701,Bologna,L-33,economia e finanza,141,NA,NA,NA,198
2013/2014,03701,Bologna,L-33,"economia, mercati e istituzioni",79,NA,NA,NA,160
2013/2014,03701,Bologna,L-34,scienze geologiche,33,NA,NA,NA,73
2013/2014,03701,Bologna,L-35,matematica,77,NA,NA,NA,124
2013/2014,03701,Bologna,L-36,scienze internazionali e diplomatiche,287,NA,NA,NA,443
2013/2014,03701,Bologna,L-36,"scienze politiche, sociali e internazionali",156,NA,NA,NA,431
2013/2014,03701,Bologna,L-37,sviluppo e cooperazione internazionale,61,NA,NA,NA,103
2013/2014,03701,Bologna,L-38,acquacoltura e igiene delle produzioni ittiche,17,NA,NA,NA,39
2013/2014,03701,Bologna,L-38,produzioni animali e controllo della fauna selvatica,53,NA,NA,NA,169
2013/2014,03701,Bologna,L-39,servizio sociale,125,NA,NA,NA,91
2013/2014,03701,Bologna,L-40,sociologia,102,NA,NA,NA,164
2013/2014,03701,Bologna,L-41,"finanza, assicurazioni e impresa",39,NA,NA,NA,60
2013/2014,03701,Bologna,L-41,scienze statistiche,89,NA,NA,NA,188
2013/2014,03701,Bologna,L-42,"antropologia, religioni, civilta orientali",34,NA,NA,NA,289
2013/2014,03701,Bologna,L-42,storia,129,NA,NA,NA,160
2013/2014,03701,Bologna,L/SNT1,infermieristica,290,NA,NA,NA,553
2013/2014,03701,Bologna,L/SNT2,educazione professionale,17,NA,NA,NA,35
2013/2014,03701,Bologna,L/SNT2,fisioterapia,37,NA,NA,NA,51
2013/2014,03701,Bologna,L/SNT2,logopedia,9,NA,NA,NA,12
2013/2014,03701,Bologna,L/SNT2,podologia,10,NA,NA,NA,11
2013/2014,03701,Bologna,L/SNT3,dietistica,8,NA,NA,NA,21
2013/2014,03701,Bologna,L/SNT3,tecniche di laboratorio biomedico,9,NA,NA,NA,17
