anno_acc,anno_sol,id_ateneo,ateneo_breve,imm_maschi,imm_femmine,imm_fs,imm_nfs,imm_totali_s,imm_totali,isc_maschi,isc_femmine,isc_1anno,isc_fs,isc_nfs,isc_totali,lau_maschi,lau_femmine,lau_totali
2011/2012,2012,01201,LIUC,164,106,15,176,2,270,1208,628,585,126,1263,1836,357,162,519
2011/2012,2012,01202,Insubria,728,977,79,1541,100,1705,3947,5059,2355,422,8261,9006,665,1015,1680
2011/2012,2012,01301,Novedrate,452,359,320,167,65,811,3862,2889,3227,4415,1333,6751,321,209,530
2011/2012,2012,01501,Milano,4594,6618,1487,9413,541,11212,24786,35546,17499,9249,50628,60332,3803,6361,10164
2011/2012,2012,01502,Milano Politecnico,4818,2252,1706,5003,416,7070,25766,12954,12875,10533,27827,38720,5565,3344,8909
2011/2012,2012,01503,Milano Bocconi,1231,1261,1565,743,255,2492,6856,6446,4471,9120,4091,13302,2188,2079,4267
2011/2012,2012,01504,Milano Cattolica,2625,4775,2119,4798,416,7400,13341,24682,11290,13362,24021,38023,2920,6325,9245
2011/2012,2012,01505,IULM,265,704,113,564,40,969,1344,3042,1451,1015,2569,4386,266,791,1057
2011/2012,2012,01508,Milano San Raffaele,176,217,34,138,23,393,799,1171,644,154,1212,1970,162,371,533
2011/2012,2012,01509,Milano Bicocca,2531,4045,500,5782,357,6576,12134,20315,9595,3121,28559,32449,1944,3621,5565
2011/2012,2012,01601,Bergamo,1013,1715,26,2620,158,2728,5642,9210,4024,89,14244,14852,917,1627,2544
2011/2012,2012,01701,Brescia,1395,1268,54,2486,199,2663,7568,6751,4381,429,13377,14319,1235,1181,2416
2011/2012,2012,01801,Pavia,1722,2099,1048,2559,234,3821,9746,12193,5943,6643,14906,21939,1784,2327,4111
2011/2012,2012,02101,Bolzano,135,184,99,179,75,319,846,1984,442,780,1804,2830,150,493,643
2011/2012,2012,02201,Trento,1570,1592,1550,1401,177,3162,8152,8619,4790,7943,8175,16771,1394,1525,2919
2011/2012,2012,02301,Verona,1406,2861,1232,2869,259,4267,7964,14976,6176,6307,16290,22940,1383,2975,4358
2011/2012,2012,02701,Ca Foscari,1180,2322,285,2878,172,3502,6421,11892,5569,2283,14841,18313,1226,2588,3814
2011/2012,2012,02702,IUAV,382,390,101,538,32,772,2900,2732,1425,1000,4142,5632,858,917,1775
2011/2012,2012,02801,Padova,4613,5637,1013,8843,390,10250,26669,34008,16224,8698,50849,60677,5025,7105,12130
2011/2012,2012,03001,Udine,1351,1651,630,2245,204,3002,7415,8615,4718,3718,11796,16030,1268,1661,2929
2011/2012,2012,03201,Trieste,1217,1652,780,1811,241,2869,8052,10798,4507,5309,11964,18850,1368,2134,3502
2011/2012,2012,03401,Parma,1748,2131,1425,2267,286,3879,12652,16199,6983,12309,15644,28851,2190,2990,5180
2011/2012,2012,03601,Modena e Reggio Emilia,1843,2037,336,3214,298,3880,8851,10538,5962,2488,15310,19389,1480,2049,3529
2011/2012,2012,03701,Bologna,6042,7729,4605,8512,992,13771,34862,45213,21403,31794,48237,80075,6224,8987,15211
2011/2012,2012,03801,Ferrara,1152,1338,1168,1126,129,2490,7744,9776,4177,8943,7659,17520,1181,1576,2757
2011/2012,2012,04101,Carlo Bo,949,1599,892,1444,161,2548,5723,9320,4054,6869,7528,15043,855,1797,2652
2011/2012,2012,04201,Marche,1539,1060,425,2080,87,2599,9202,7031,4128,2918,12973,16233,1686,1496,3182
2011/2012,2012,04301,Macerata,402,1008,106,1191,86,1410,3229,7778,2677,1443,8507,11007,458,1358,1816
2011/2012,2012,04302,Camerino,474,601,175,677,86,1075,3816,3780,1692,2244,3926,7596,562,578,1140
2011/2012,2012,04801,Firenze,3391,4572,806,6803,589,7963,22377,31603,13805,8784,44165,53980,3830,5492,9322
2011/2012,2012,04804,IUL,2,8,NA,NA,NA,10,6,21,11,NA,NA,27,2,7,9
2011/2012,2012,05001,Pisa,3343,3707,1794,4950,267,7050,21982,24243,11623,13295,32066,46225,3198,3485,6683
2011/2012,2012,05201,Siena,1546,2356,2049,1617,159,3902,7225,10581,5763,7560,9589,17806,1178,1928,3106
2011/2012,2012,05202,Siena Stranieri,43,191,36,122,40,234,126,650,315,105,458,776,10,91,101
2011/2012,2012,05401,Perugia,1934,2370,1107,2887,247,4304,11264,14692,7602,8606,16840,25956,1897,2756,4653
2011/2012,2012,05403,Perugia Stranieri,61,126,48,115,64,187,474,826,383,361,494,1300,137,210,347
2011/2012,2012,05601,Tuscia,722,709,168,1092,31,1431,4315,3696,2272,1838,5547,8011,1016,656,1672
2011/2012,2012,05801,La Sapienza,6719,9184,3091,12494,921,15903,47055,68695,28246,26790,87346,115750,7408,12270,19678
2011/2012,2012,05802,Tor Vergata,2754,2717,772,4553,299,5471,15193,16619,10113,5727,25113,31812,2341,2932,5273
2011/2012,2012,05803,Roma LUMSA,287,655,292,507,44,942,2152,4469,1800,2645,3581,6621,392,981,1373
2011/2012,2012,05805,Roma LUISS,672,645,515,630,20,1317,3696,4103,2291,4024,3321,7799,1048,1077,2125
2011/2012,2012,05806,Roma Foro Italico,226,98,NA,264,1,324,1434,683,604,NA,1695,2117,219,135,354
2011/2012,2012,05807,Roma Tre,2579,3537,655,5335,298,6116,15021,22040,10343,5364,31279,37061,2191,3398,5589
2011/2012,2012,05808,Campus Biomedico,110,155,22,142,2,265,599,862,436,255,756,1461,119,189,308
2011/2012,2012,05809,Roma UNINT,44,98,NA,99,NA,142,430,848,445,NA,685,1278,108,240,348
2011/2012,2012,05810,Roma Marconi,300,247,171,102,11,547,7144,3449,2512,5862,2189,10593,939,473,1412
2011/2012,2012,05811,Unitelma,112,112,24,64,1,224,944,727,867,311,657,1671,149,95,244
2011/2012,2012,05812,Roma Europea,66,107,NA,144,1,173,359,550,281,NA,705,909,60,109,169
2011/2012,2012,05813,Uninettuno,1014,678,847,575,59,1692,3640,2277,2543,3886,1733,5917,84,76,160
2011/2012,2012,05814,Mercatorum,25,11,NA,11,1,36,144,69,106,NA,80,213,10,7,17
2011/2012,2012,05815,Unicusano,563,298,413,209,18,861,6539,3526,3564,6253,2334,10065,1053,579,1632
2011/2012,2012,05816,Roma San Raffaele,79,41,NA,20,1,120,285,154,251,NA,81,439,3,2,5
2011/2012,2012,06001,Cassino,659,738,346,1033,17,1397,4497,5665,2615,2562,7405,10162,633,954,1587
2011/2012,2012,06201,Sannio,536,533,29,1026,7,1069,3247,3490,1433,134,6500,6737,400,452,852
2011/2012,2012,06202,Benevento - Giustino Fortunato,9,3,NA,NA,NA,12,327,161,170,NA,NA,488,79,31,110
2011/2012,2012,06301,Napoli Federico II,6185,7538,300,13284,71,13723,38015,49576,21552,3044,83526,87591,5563,7312,12875
2011/2012,2012,06302,Napoli Parthenope,1463,1057,NA,2455,17,2520,9071,7298,5052,NA,15606,16369,1123,912,2035
2011/2012,2012,06303,Napoli L'Orientale,366,1385,65,1598,61,1751,2228,8006,2738,463,9208,10234,351,1401,1752
2011/2012,2012,06304,Benincasa,185,1089,11,1220,11,1274,1469,8322,2467,103,9439,9791,287,1620,1907
2011/2012,2012,06306,Napoli II,1542,2123,22,3547,7,3665,12160,16820,7004,290,28186,28980,1762,2760,4522
2011/2012,2012,06307,Napoli Pegaso,159,171,48,184,NA,330,2269,1416,1127,670,2218,3685,1316,491,1807
2011/2012,2012,06501,Salerno,2235,3074,200,5037,33,5309,14217,22627,7731,1651,34622,36844,1679,2849,4528
2011/2012,2012,06601,Aquila,1431,1756,1342,1688,81,3187,10842,13219,6557,9154,14046,24061,1386,1744,3130
2011/2012,2012,06701,Teramo,375,544,114,713,29,919,3318,4538,1729,1569,5700,7856,441,541,982
2011/2012,2012,06901,Chieti e Pescara,1620,3042,1949,2492,84,4662,11147,20653,8361,13254,17744,31800,1580,3572,5152
2011/2012,2012,06902,Torrevecchia Teatina,11,22,NA,NA,1,33,144,206,84,NA,NA,350,23,36,59
2011/2012,2012,07001,Molise,517,675,386,733,9,1192,3173,4599,2151,3112,4357,7772,468,760,1228
2011/2012,2012,07101,Foggia,628,1019,102,1509,25,1647,3854,6618,2733,707,9562,10472,502,899,1401
2011/2012,2012,07201,Bari,3354,5616,489,8326,147,8970,19187,35692,12871,3290,50723,54879,2497,5393,7890
2011/2012,2012,07202,Bari Politecnico,1035,383,47,1351,13,1418,8161,3656,2135,435,11199,11817,1171,543,1714
2011/2012,2012,07203,Jean Monnet,104,52,NA,101,1,156,812,480,296,NA,1053,1292,120,103,223
2011/2012,2012,07501,Salento,1097,1896,39,2903,27,2993,7578,14558,4847,350,21449,22136,1126,2693,3819
2011/2012,2012,07601,Basilicata,533,543,142,878,7,1076,3704,4674,1659,1538,6699,8378,358,580,938
2011/2012,2012,07801,Calabria,1736,2506,63,4141,46,4242,13297,19583,6570,541,31982,32880,1801,2931,4732
2011/2012,2012,07901,Catanzaro,553,791,NA,1309,19,1344,3912,6274,2030,NA,9905,10186,484,869,1353
2011/2012,2012,08001,Reggio Calabria,713,599,68,1195,13,1312,4662,4677,1868,831,8352,9339,515,466,981
2011/2012,2012,08003,Reggio Calabria - Dante Alighieri,13,89,NA,94,13,102,80,447,235,NA,509,527,16,51,67
2011/2012,2012,08201,Palermo,2964,4043,24,6932,55,7007,19773,29593,11215,122,48760,49366,3017,5036,8053
2011/2012,2012,08301,Messina,1630,2786,1021,3357,51,4416,11433,19715,7064,8281,22458,31148,1703,3107,4810
2011/2012,2012,08601,Enna,515,646,NA,1155,6,1161,2521,3631,1781,NA,6098,6152,292,670,962
2011/2012,2012,08701,Catania,2501,3669,NA,6122,31,6170,20854,33117,9630,NA,53344,53971,2910,4807,7717
2011/2012,2012,09001,Sassari,689,1243,NA,1859,32,1932,5077,9516,3349,NA,14284,14593,713,1498,2211
2011/2012,2012,09201,Cagliari,1561,2311,17,3797,40,3872,12015,18889,6252,102,30498,30904,1695,3130,4825
2010/2011,2011,00101,Torino,4235,6892,803,10022,739,11127,25079,41486,17539,6588,58447,66565,4047,7008,11055
2010/2011,2011,00102,Torino Politecnico,3289,1311,1528,2853,636,4600,18748,7390,7683,8494,16902,26138,3361,1579,4940
2010/2011,2011,00201,Piemonte Orientale,676,1073,171,1408,114,1749,3747,5939,2821,1090,8094,9686,515,1064,1579
2010/2011,2011,00401,Scienze Gastronomiche,35,32,28,NA,30,67,140,109,88,61,NA,249,28,33,61
2010/2011,2011,00701,Aosta,53,169,18,157,24,222,305,939,343,209,932,1244,36,132,168
2010/2011,2011,01001,Genova,2716,3473,695,5222,534,6189,16051,21025,10269,4993,30946,37076,2541,3375,5916
2010/2011,2011,01201,LIUC,171,92,13,179,5,263,1221,610,538,118,1278,1831,340,191,531
2010/2011,2011,01202,Insubria,760,918,73,1538,109,1678,4162,5215,2293,438,8617,9377,612,903,1515
2010/2011,2011,01301,Novedrate,504,362,389,167,40,866,3726,2485,3321,3781,1268,6211,183,142,325
2010/2011,2011,01501,Milano,4673,6959,1465,9871,535,11632,24947,35511,17630,9145,51035,60458,3715,5911,9626
2010/2011,2011,01502,Milano Politecnico,4606,2209,1576,4863,451,6815,25559,12700,12344,9914,28062,38259,5654,3279,8933
2010/2011,2011,01503,Milano Bocconi,1282,1349,1687,782,308,2631,6937,6335,4648,8890,4224,13272,2171,1912,4083
2010/2011,2011,01504,Milano Cattolica,2591,4672,2205,4575,413,7263,13650,25461,11175,13616,25302,39111,2807,6005,8812
2010/2011,2011,01505,IULM,226,665,114,518,46,891,1348,3110,1399,850,2653,4458,295,723,1018
2010/2011,2011,01508,Milano San Raffaele,147,209,NA,184,11,356,743,1209,600,NA,1281,1952,183,373,556
2010/2011,2011,01509,Milano Bicocca,2570,4132,427,5984,375,6702,11961,19763,9726,2875,28094,31724,1903,3604,5507
2010/2011,2011,01601,Bergamo,1039,1715,25,2654,181,2754,5759,9276,4074,68,14474,15035,929,1606,2535
2010/2011,2011,01701,Brescia,1355,1199,46,2407,185,2554,7747,6688,4506,395,13522,14435,1184,1185,2369
2010/2011,2011,01801,Pavia,1766,2267,1140,2658,234,4033,10055,12552,6818,6318,15692,22607,1741,2452,4193
2010/2011,2011,02101,Bolzano,209,442,181,420,127,651,890,2299,853,833,2088,3189,158,472,630
2010/2011,2011,02201,Trento,1468,1631,1447,1431,174,3099,7937,8486,5279,7276,8445,16423,1218,1445,2663
2010/2011,2011,02301,Verona,1747,3210,1284,3464,293,4957,8259,15428,6886,6396,16912,23687,1266,2765,4031
2010/2011,2011,02701,Ca Foscari,1047,1984,243,2503,166,3031,6455,11510,4989,2072,14765,17965,1124,2437,3561
2010/2011,2011,02702,IUAV,421,490,137,660,49,911,3119,2917,1740,974,4521,6036,731,783,1514
2010/2011,2011,02801,Padova,4733,5607,942,9010,433,10340,27106,34455,16322,8458,51786,61561,4933,6723,11656
2010/2011,2011,03001,Udine,1292,1561,601,2141,212,2853,7758,8816,5640,3800,12161,16574,1237,1703,2940
2010/2011,2011,03201,Trieste,1183,1687,831,1791,245,2870,8290,11057,4453,5430,12396,19347,1315,1917,3232
2010/2011,2011,03401,Parma,2258,2910,2049,2900,359,5168,13411,17170,8111,13273,16527,30581,2050,2669,4719
2010/2011,2011,03601,Modena e Reggio Emilia,1676,1874,247,2996,217,3550,8855,10616,5617,2727,15326,19471,1560,2083,3643
2010/2011,2011,03701,Bologna,5741,7265,4106,8235,912,13006,34923,45138,20406,31437,48573,80061,6039,9111,15150
2010/2011,2011,03801,Ferrara,1237,1751,1528,1275,131,2988,7984,10024,4514,9492,8031,18008,1307,1632,2939
2010/2011,2011,04101,Carlo Bo,866,1405,767,1288,184,2271,5687,9451,3763,6218,7622,15138,903,1863,2766
2010/2011,2011,04201,Marche,1542,1161,450,2151,143,2703,9345,7271,4188,2952,13294,16616,1431,1423,2854
2010/2011,2011,04301,Macerata,425,1043,154,1168,74,1468,3486,8120,2856,1603,8952,11606,432,1389,1821
2010/2011,2011,04302,Camerino,450,536,128,646,66,986,3965,3809,1709,1887,3961,7774,531,488,1019
2010/2011,2011,04801,Firenze,3599,5018,1175,7143,600,8617,23598,32886,15037,10223,45588,56484,3924,5376,9300
2010/2011,2011,05001,Pisa,3369,3569,1619,4978,249,6938,22258,24330,11899,12994,32534,46588,3243,3520,6763
2010/2011,2011,05201,Siena,1115,1696,1048,1521,142,2811,7219,10381,4716,6430,10192,17600,1334,2032,3366
2010/2011,2011,05202,Siena Stranieri,37,135,10,87,35,172,122,559,232,65,409,681,19,118,137
2010/2011,2011,05401,Perugia,1964,2489,1186,2982,238,4453,11958,15649,8220,9354,17746,27607,2053,2938,4991
2010/2011,2011,05403,Perugia Stranieri,71,101,69,68,87,172,601,875,351,393,487,1476,153,236,389
2010/2011,2011,05601,Tuscia,945,634,338,1019,30,1579,5103,3868,1978,2231,5901,8971,1083,670,1753
2010/2011,2011,05801,La Sapienza,7066,9414,3306,12891,898,16480,49932,72915,31734,28466,92738,122847,7471,12620,20091
2010/2011,2011,05802,Tor Vergata,2630,2777,593,4622,328,5407,14951,16957,9725,5039,25849,31908,2411,2886,5297
2010/2011,2011,05803,Roma LUMSA,313,660,315,505,57,973,2225,4513,2100,2636,3684,6738,375,1031,1406
2010/2011,2011,05805,Roma LUISS,591,735,556,613,23,1326,3577,4142,2251,4025,3245,7719,972,1090,2062
2010/2011,2011,05806,Roma Foro Italico,250,88,NA,276,5,338,1349,634,592,NA,1566,1983,176,86,262
2010/2011,2011,05807,Roma Tre,2705,3419,747,5254,250,6124,15543,22471,10360,5214,32291,38014,2067,3142,5209
2010/2011,2011,05808,Campus Biomedico,107,170,NA,172,5,277,559,779,484,NA,690,1338,101,132,233
2010/2011,2011,05809,Roma UNINT,55,131,24,108,6,186,504,851,447,280,707,1355,141,216,357
2010/2011,2011,05810,Roma Marconi,759,364,530,266,12,1123,7142,3029,3311,7250,2067,10171,965,387,1352
2010/2011,2011,05811,Unitelma,122,91,37,71,1,213,785,585,812,421,536,1370,138,99,237
2010/2011,2011,05812,Roma Europea,44,76,NA,89,NA,120,338,500,233,NA,640,838,65,109,174
2010/2011,2011,05813,Uninettuno,1317,811,1070,751,22,2128,3203,2014,3527,3506,1495,5217,59,44,103
2010/2011,2011,05814,Mercatorum,38,23,NA,17,NA,61,146,86,152,NA,77,232,11,12,23
2010/2011,2011,05815,Unicusano,866,405,643,376,8,1271,6202,3015,4446,6388,2304,9217,1246,482,1728
2010/2011,2011,05816,Roma San Raffaele,70,47,13,13,6,117,205,121,205,36,36,326,7,NA,NA
2010/2011,2011,06001,Cassino,720,768,336,1123,27,1488,4675,6008,2708,2563,7882,10683,599,892,1491
2010/2011,2011,06201,Sannio,556,623,11,1140,9,1179,3416,3660,1561,80,6821,7076,359,406,765
2010/2011,2011,06202,Benevento - Giustino Fortunato,35,14,11,10,NA,49,382,175,265,87,328,557,58,35,93
2010/2011,2011,06301,Napoli Federico II,6278,7391,320,13239,87,13669,38434,49727,22239,3312,83913,88161,5188,6881,12069
2010/2011,2011,06302,Napoli Parthenope,1691,1635,48,3212,22,3326,9705,7726,5257,441,16487,17431,1070,927,1997
2010/2011,2011,06303,Napoli L'Orientale,334,1188,39,1391,64,1522,2346,8185,2604,367,9414,10531,363,1442,1805
2010/2011,2011,06304,Benincasa,211,1169,12,1331,7,1380,1650,8821,3154,111,10103,10471,287,1573,1860
2010/2011,2011,06306,Napoli II,1721,2172,11,3823,12,3893,12653,17161,7269,296,28982,29814,1806,2541,4347
2010/2011,2011,06307,Napoli Pegaso,437,330,178,402,1,767,4173,1750,3440,1726,2854,5923,1427,504,1931
2010/2011,2011,06501,Salerno,2312,2927,176,5018,34,5239,14584,22789,8011,1664,35109,37373,1656,2738,4394
2010/2011,2011,06601,Aquila,1700,1615,1459,1621,95,3315,10680,12813,6415,8396,14349,23493,1239,1992,3231
2010/2011,2011,06701,Teramo,399,533,119,721,24,932,3603,4700,1925,1550,6076,8303,593,486,1079
2010/2011,2011,06901,Chieti e Pescara,2182,3988,2960,2953,136,6170,11550,20851,10212,13714,18357,32401,1689,3576,5265
2010/2011,2011,06902,Torrevecchia Teatina,10,18,NA,NA,NA,28,157,222,101,NA,NA,379,25,38,63
2010/2011,2011,07001,Molise,546,674,356,753,12,1220,3405,4669,2112,3139,4734,8074,624,1050,1674
2010/2011,2011,07101,Foggia,681,1058,98,1596,26,1739,4054,6914,2845,731,10012,10968,473,984,1457
2010/2011,2011,07201,Bari,3432,5745,446,8588,141,9177,20134,37392,14068,3384,53214,57526,2428,5207,7635
2010/2011,2011,07202,Bari Politecnico,1310,501,75,1705,10,1811,8620,3804,2623,443,11775,12424,1088,463,1551
2010/2011,2011,07203,Jean Monnet,145,84,58,114,NA,229,826,520,503,106,1066,1346,134,85,219
2010/2011,2011,07501,Salento,1345,2076,50,3325,29,3421,8153,15738,5354,362,23159,23891,1111,2849,3960
2010/2011,2011,07601,Basilicata,494,583,154,869,4,1077,3723,4783,1758,1521,6840,8506,403,554,957
2010/2011,2011,07801,Calabria,1744,2611,76,4229,53,4355,13896,20262,6979,508,33287,34158,1794,2974,4768
2010/2011,2011,07901,Catanzaro,581,865,NA,1417,25,1446,4267,6704,2185,NA,10679,10971,614,989,1603
2010/2011,2011,08001,Reggio Calabria,734,648,67,1300,13,1382,4924,4908,2289,912,8763,9832,533,481,1014
2010/2011,2011,08003,Reggio Calabria - Dante Alighieri,8,54,NA,62,8,62,71,285,215,NA,349,356,6,23,29
2010/2011,2011,08201,Palermo,3307,4335,21,7547,73,7642,21281,31625,11880,93,52227,52906,2729,4700,7429
2010/2011,2011,08301,Messina,1813,2958,1158,3530,70,4771,11950,20499,7701,8826,23168,32449,1623,3003,4626
2010/2011,2011,08601,Enna,568,757,NA,1310,3,1325,2500,3729,1958,NA,6149,6229,269,588,857
2010/2011,2011,08701,Catania,2570,3654,NA,6151,37,6224,22413,35349,11132,NA,57031,57762,2735,4459,7194
2010/2011,2011,09001,Sassari,729,1287,20,1942,42,2016,5248,9963,3443,59,14929,15211,732,1691,2423
2010/2011,2011,09201,Cagliari,1696,2372,14,4002,34,4068,12721,20262,6687,96,32555,32983,1568,2851,4419
2014/2015,NA,01510,Humanitas University,25,40,13,24,16,65,47,94,141,12,73,141,NA,NA,NA
2018/2019,NA,05818,Roma Saint Camillus,34,63,41,14,63,97,75,132,207,36,49,207,NA,NA,NA
2019/2020,NA,00101,Torino,5352,8313,2063,11255,929,13665,29103,45915,22152,15642,58001,75018,NA,NA,NA
2019/2020,NA,00102,Torino Politecnico,3620,1501,2110,2795,630,5121,23128,9351,10831,16579,14946,32479,NA,NA,NA
2019/2020,NA,00201,Piemonte Orientale,1350,2167,889,2389,230,3517,5175,7947,4297,3538,9239,13122,NA,NA,NA
2019/2020,NA,00401,Scienze Gastronomiche,40,53,30,13,31,93,192,180,132,92,123,372,NA,NA,NA
2019/2020,NA,00701,Aosta,68,159,65,127,21,227,317,702,312,254,618,1019,NA,NA,NA
2019/2020,NA,01001,Genova,2610,3225,599,4934,607,5835,13574,16962,9136,4585,25101,30536,NA,NA,NA
2019/2020,NA,01201,LIUC,260,130,21,258,13,390,1609,877,1010,232,1572,2486,NA,NA,NA
2019/2020,NA,01202,Insubria,1481,1648,152,2847,191,3129,5252,6137,3801,573,10432,11389,NA,NA,NA
2019/2020,NA,01301,Novedrate,1688,1571,2452,667,206,3259,10418,11431,8408,18269,3471,21849,NA,NA,NA
2019/2020,NA,01501,Milano,4904,7598,1922,10262,845,12502,25152,35908,19747,12521,48483,61060,NA,NA,NA
2019/2020,NA,01502,Milano Politecnico,5145,2554,2574,4778,385,7699,30139,15293,15066,19366,25993,45432,NA,NA,NA
2019/2020,NA,01503,Milano Bocconi,1688,1076,1729,834,552,2764,7958,5627,4792,9442,4014,13585,NA,NA,NA
2019/2020,NA,01504,Milano Cattolica,2717,5519,2522,5135,538,8236,13921,27329,13402,17274,23863,41250,NA,NA,NA
2019/2020,NA,01505,IULM,426,1265,412,983,86,1691,1874,4910,2502,2150,3890,6784,NA,NA,NA
2019/2020,NA,01508,Milano San Raffaele,202,302,114,168,37,504,1125,1837,864,734,1391,2962,NA,NA,NA
2019/2020,NA,01509,Milano Bicocca,2204,3148,378,4583,261,5352,13213,20399,10020,3707,28105,33612,NA,NA,NA
2019/2020,NA,01510,Humanitas University,111,184,96,95,103,295,420,751,331,247,597,1171,NA,NA,NA
2019/2020,NA,01601,Bergamo,1986,3422,100,5131,327,5408,7875,13216,7088,554,19492,21091,NA,NA,NA
2019/2020,NA,01701,Brescia,1798,1454,128,3038,227,3252,7824,6590,4375,662,13420,14414,NA,NA,NA
2019/2020,NA,01801,Pavia,2009,2381,1062,3078,428,4390,10309,12986,7276,7526,14806,23295,NA,NA,NA
2019/2020,NA,02101,Bolzano,225,514,257,373,68,739,1217,2739,1103,1458,2053,3956,NA,NA,NA
2019/2020,NA,02201,Trento,1511,1589,1756,1103,80,3100,8233,8550,4904,10193,5834,16783,NA,NA,NA
2019/2020,NA,02301,Verona,1363,2572,1117,2623,158,3935,7948,14487,6819,6509,14850,22435,NA,NA,NA
2019/2020,NA,02701,Ca Foscari,1404,2485,575,2991,241,3889,7562,13516,6738,5029,15234,21078,NA,NA,NA
2019/2020,NA,02702,IUAV,260,390,80,479,45,650,1686,2119,1269,527,2497,3805,NA,NA,NA
2019/2020,NA,02801,Padova,5436,5904,1610,9305,496,11340,28210,31606,18232,12949,46434,59816,NA,NA,NA
2019/2020,NA,03001,Udine,1510,1599,621,2363,159,3109,7121,7729,4604,3283,10831,14850,NA,NA,NA
2019/2020,NA,03201,Trieste,1058,1686,710,1747,132,2744,6602,8853,4331,4618,9130,15455,NA,NA,NA
2019/2020,NA,03401,Parma,2265,3122,2107,2999,363,5387,11283,15385,8419,12648,13710,26668,NA,NA,NA
2019/2020,NA,03601,Modena e Reggio Emilia,2752,3000,958,4246,280,5752,12558,14106,8971,7311,18478,26664,NA,NA,NA
2019/2020,NA,03701,Bologna,6277,7977,5252,8312,1346,14254,35389,44446,24064,37563,42272,79835,NA,NA,NA
2019/2020,NA,03801,Ferrara,2555,4214,4232,2302,266,6769,9303,13456,8437,14264,8369,22759,NA,NA,NA
2019/2020,NA,04101,Carlo Bo,1157,1775,1245,1488,133,2932,5465,9037,4327,7018,7141,14502,NA,NA,NA
2019/2020,NA,04201,Marche,1609,1313,596,2173,128,2922,8264,6747,4498,3572,10960,15011,NA,NA,NA
2019/2020,NA,04301,Macerata,448,1244,273,1327,76,1692,2622,7351,3462,1615,7482,9973,NA,NA,NA
2019/2020,NA,04302,Camerino,560,524,160,696,102,1084,3202,3091,1562,1532,3533,6293,NA,NA,NA
2019/2020,NA,04801,Firenze,3852,5049,1319,7370,637,8901,22073,29846,14834,11789,39725,51919,NA,NA,NA
2019/2020,NA,05001,Pisa,3575,3640,1610,5323,331,7215,21546,22737,13055,14121,29925,44283,NA,NA,NA
2019/2020,NA,05201,Siena,947,1534,663,1522,166,2481,6104,9359,4222,6099,7933,15463,NA,NA,NA
2019/2020,NA,05202,Siena Stranieri,86,410,102,256,56,496,369,1801,670,622,1143,2170,NA,NA,NA
2019/2020,NA,05401,Perugia,1827,2592,908,3178,322,4419,9914,13592,7059,7146,15575,23506,NA,NA,NA
2019/2020,NA,05403,Perugia Stranieri,60,87,47,81,66,147,380,714,413,224,553,1094,NA,NA,NA
2019/2020,NA,05601,Tuscia,754,760,144,1195,46,1514,3846,4026,2462,1234,6020,7872,NA,NA,NA
2019/2020,NA,05801,La Sapienza,7182,9940,2442,14294,1083,17122,44077,59584,29839,18510,83894,103661,NA,NA,NA
2019/2020,NA,05802,Tor Vergata,2365,2517,492,4177,440,4882,12517,14190,8553,4511,21295,26707,NA,NA,NA
2019/2020,NA,05803,Roma LUMSA,350,721,248,667,39,1071,1892,4254,1943,2089,3371,6146,NA,NA,NA
2019/2020,NA,05805,Roma LUISS,865,801,563,852,66,1666,5154,4312,3158,3902,4551,9466,NA,NA,NA
2019/2020,NA,05806,Roma Foro Italico,275,87,NA,304,3,362,1520,567,683,NA,1653,2087,NA,NA,NA
2019/2020,NA,05807,Roma Tre,2438,3238,358,5041,354,5676,12481,18307,8675,3007,26633,30788,NA,NA,NA
2019/2020,NA,05808,Campus Biomedico,158,258,74,216,5,416,786,1232,1274,407,1137,2018,NA,NA,NA
2019/2020,NA,05809,Roma UNINT,33,113,NA,97,7,146,352,1416,777,NA,1053,1768,NA,NA,NA
2019/2020,NA,05810,Roma Marconi,378,377,335,147,31,755,4982,5219,3726,6064,2263,10201,NA,NA,NA
2019/2020,NA,05811,Unitelma,194,179,70,100,13,373,1127,1104,1133,637,886,2231,NA,NA,NA
2019/2020,NA,05812,Roma Europea,84,195,12,216,11,279,419,1074,446,134,1168,1493,NA,NA,NA
2019/2020,NA,05813,Uninettuno,843,625,937,200,244,1468,8953,6138,3481,11135,3424,15091,NA,NA,NA
2019/2020,NA,05815,Unicusano,1531,908,1743,466,115,2439,10742,8066,8386,14885,3741,18808,NA,NA,NA
2019/2020,NA,05816,Roma San Raffaele,463,276,236,173,11,739,3770,2932,2832,3636,1576,6702,NA,NA,NA
2019/2020,NA,05817,Link Campus,68,25,NA,49,11,93,618,259,297,NA,427,877,NA,NA,NA
2019/2020,NA,05818,Roma Saint Camillus,93,173,61,84,128,266,196,365,365,79,197,561,NA,NA,NA
2019/2020,NA,06001,Cassino,630,624,417,765,173,1254,3266,3780,2174,2188,4672,7046,NA,NA,NA
2019/2020,NA,06201,Sannio,410,391,34,742,9,801,2074,2227,1094,144,4086,4301,NA,NA,NA
2019/2020,NA,06202,Benevento - Giustino Fortunato,45,58,NA,37,4,103,635,613,750,NA,670,1248,NA,NA,NA
2019/2020,NA,06301,Napoli Federico II,6419,7559,480,13322,124,13978,33154,40883,21904,2888,70380,74037,NA,NA,NA
